,contrast,dissimilarity,homogeneity,ASM,energy,correlation,SRE,LRE,GLU,RLU,RPC,class
99,1182.0033284023668,12.420734714003945,0.7845110226918577,0.36655030262922456,0.6054339787534431,0.7250029234235693,1.723,5070.438,6608.487,21348.674,27.097,0
100,1166.1784547583827,12.307738535502958,0.7864395885795205,0.3697884586503512,0.6081023422503413,0.7051869692266026,1.71,5095.361,6675.382,20923.092,26.82,0
101,1172.3404370069034,12.329927884615387,0.7850403779580978,0.37246515588299683,0.6102992347062192,0.6823613952140262,1.725,4953.473,6474.552,21871.647,27.624,0
102,1142.0561976084814,11.957362549309664,0.7929969411549899,0.37738631219064256,0.6143177615783566,0.6801728747573963,1.729,5167.144,6683.414,21166.067,26.723,0
103,1159.903537968442,11.895032051282053,0.7974687283644557,0.3844404756354811,0.6200326407823068,0.6777775650576731,1.713,5441.536,6923.244,20017.048,25.814,0
104,1131.671019785503,11.556544317061142,0.8047664940776745,0.3942225400783115,0.6278714359471304,0.6816667476418881,1.713,5726.689,7153.615,19357.68,25.006,0
105,1105.0336846646942,11.414786735700197,0.8058026884178975,0.4013385479162945,0.6335128632603244,0.6740565846208428,1.711,5872.634,7213.14,19283.26,24.821,0
106,1071.0682091346155,11.122865816074953,0.8097343174168966,0.40981772700130703,0.640170076621289,0.6705948037124269,1.676,6238.883,7538.084,17750.631,23.745,0
107,1005.0584011341224,10.920642258382644,0.8052810064708028,0.41294300974263376,0.6426064190020465,0.6752842529198659,1.599,6413.261,7639.67,16365.447,23.443,0
108,946.0459658530573,10.361825073964498,0.8146663867524382,0.4184127869857619,0.6468483492950738,0.6901651341934838,1.594,6982.816,8126.424,15156.41,22.039,0
109,877.5640332223866,9.89479320759369,0.8188994242228099,0.4267854310675884,0.6532881684735982,0.7009933348017119,1.549,7377.771,8400.895,14114.91,21.323,0
110,804.8849466839251,9.708741678994084,0.8164366003719591,0.43353333991189463,0.6584324869809316,0.7085601210146133,1.51,7431.063,8290.878,14039.709,21.601,0
111,743.0755901750492,9.30162875986193,0.8221565704148371,0.4455951865433794,0.6675291653129317,0.7148078800003874,1.484,7817.127,8504.854,13505.681,21.052,0
112,694.3082162228798,8.945482001972387,0.8251115764393737,0.4570653541792028,0.6760660871388261,0.7186717779382292,1.448,8134.605,8631.989,13066.832,20.743,0
113,627.6700104783039,8.607849482248522,0.825568408275778,0.47297313742972685,0.6877304249702254,0.7235116403016618,1.394,8550.13,8831.481,12305.893,20.291,0
114,1048.7254299186388,11.132804795364887,0.8004189229140423,0.40734826808862495,0.6382384100699557,0.7131539286378934,1.606,6332.929,7426.283,17044.058,24.131,0
115,1004.594027366864,10.921751725838265,0.8000628325559845,0.41044631217533684,0.6406608402074664,0.6946816640046165,1.597,6485.62,7613.684,16265.39,23.536,0
116,1042.4636572361933,11.043492665187376,0.8029131706667482,0.4100562644367762,0.6403563573798391,0.6762995543362208,1.637,6504.086,7623.937,16744.843,23.485,0
117,1034.5538168762328,10.774585490631164,0.809164442558524,0.41248356515619444,0.642248834297264,0.6773058805143313,1.629,6660.006,7799.499,16159.808,22.922,0
118,1014.5760293392507,10.585706360946748,0.8094991266856799,0.4143416914627437,0.6436937870313366,0.6747110161128965,1.591,6763.727,7886.979,15408.107,22.66,0
119,1012.4975422214004,10.626225036982248,0.808225231629377,0.41423638907681276,0.6436119864303436,0.6677238116289864,1.566,6686.63,7731.804,15517.273,23.116,0
120,1014.8761017628206,10.424933740138066,0.8141373521079507,0.419630996160173,0.6477893146387743,0.6664426614579224,1.582,6983.134,7979.116,15123.28,22.41,0
121,977.8217224482249,9.936906743096646,0.8245459363466209,0.428506884846784,0.6546043727678452,0.6669281346068116,1.566,7549.337,8473.16,13996.968,21.134,0
122,930.9407513560158,9.545935034516765,0.8319439476168721,0.4382503481428701,0.6620047946524784,0.6619176849227032,1.544,8162.113,8949.928,12998.922,20.014,0
123,877.3500061637081,8.95201553254438,0.8427801336551308,0.44712728141949504,0.6686757670347379,0.664098527561046,1.536,9069.004,9687.772,11796.15,18.485,0
124,812.7128482495068,8.457763190335305,0.8471371965812521,0.4496853666384679,0.6705858383819837,0.6709489493355687,1.538,9537.403,10004.656,11439.516,17.904,0
125,764.9314749753449,8.215960922090728,0.8474626583281617,0.45535411745452087,0.674799316430093,0.6829766620541214,1.499,9615.49,10022.885,11059.818,17.862,0
126,708.4924879807693,8.015648113905327,0.8473669308958236,0.46472759692852905,0.6817093199660168,0.6858738291535343,1.474,9835.796,10039.866,10912.445,17.862,0
127,621.7588526257397,7.410526072485208,0.8549629070697906,0.4789436316023539,0.6920575348931286,0.6988042225872605,1.446,10831.535,10750.686,9886.825,16.688,0
128,553.2955035749507,6.9340329142011825,0.8617266289373763,0.49452232047055483,0.7032228099760095,0.7203743464863949,1.358,11898.414,11499.228,8642.471,15.611,0
129,484.54082686143977,6.469528168145957,0.8670477704500859,0.5155459997906238,0.7180153200250143,0.7306432826240986,1.285,13301.701,12413.841,7431.191,14.482,0
130,418.125785872781,6.015979413214989,0.8733377903614269,0.5383142405400059,0.7336990122250444,0.7425747893185092,1.236,14527.76,13094.076,6832.629,13.738,0
131,1339.3718565088757,13.769169132149903,0.7638224700125189,0.36995830068195035,0.6082419754357228,0.7620666970042481,1.832,5887.378,7176.926,21473.416,24.921,0
132,1295.2412937623276,13.438686513806708,0.7671310754668695,0.37343791873384696,0.6110956706881885,0.7594077289379675,1.78,6015.706,7355.465,19862.868,24.322,0
133,1380.4806305473373,13.705020340236684,0.7724126984276549,0.37224364636961843,0.6101177315646698,0.7255029262449711,1.816,5713.771,7027.269,21554.628,25.456,0
134,1381.3427175788954,13.668870192307692,0.7732019787901837,0.3697085670182191,0.608036649403816,0.7188715773635466,1.827,5648.977,6990.442,21664.187,25.538,0
135,1397.2643845537473,13.55736100838264,0.7764744524408362,0.36923722911515183,0.6076489357475678,0.7183454129049291,1.81,5745.103,7066.226,21172.48,25.3,0
136,1422.3147882766273,13.720714681952664,0.7740115848312116,0.3704132514766832,0.6086158488543354,0.7106555418662244,1.775,5571.951,6866.751,21227.666,26.057,0
137,1443.1832008136098,13.648160133136097,0.7806260043673916,0.3774237341676542,0.614348218983057,0.702532144569837,1.781,5660.747,6950.714,20946.778,25.712,0
