,contrast,dissimilarity,homogeneity,ASM,energy,correlation,SRE,LRE,GLU,RLU,RPC,class
66,533.26650877193,10.094350877192984,0.7575619157865934,0.36304993989496775,0.6025362560833728,0.9120484892947773,1.083,5745.88,6979.025,10955.107,22.675,0
67,376.99253508771926,8.07,0.7909826329477565,0.4077265268736534,0.6385346716300169,0.9154742989232264,0.916,7757.267,8494.231,7723.038,18.655,0
68,1540.469112786198,20.752569735569168,0.5944260659409903,0.158406425022218,0.39800304649866436,0.8361720805182797,1.641,1492.472,3620.382,25963.324,37.953,0
69,1340.8191410029024,17.6068304579168,0.6540375670166835,0.22114911143377255,0.4702649374913811,0.9113278951160672,1.594,1953.855,3780.651,24058.623,36.244,0
70,1429.1129877458886,18.640871896162533,0.6387063295366789,0.21351880737964704,0.46208095327512366,0.9086055127323844,1.588,1861.38,3678.414,24754.315,37.285,0
71,1555.6182783779425,19.084902047726537,0.6414202670379774,0.21489768616572086,0.4635705838011304,0.897725429244763,1.647,1832.204,3644.44,25843.162,37.612,0
72,1890.974151483392,20.18273339245404,0.6553762533928592,0.23186719597142127,0.48152590373875137,0.8671639982707913,1.688,1975.784,3723.317,26038.081,36.839,0
73,1825.623548855208,19.73563971299581,0.6590458014597975,0.23297519843664255,0.4826750443483095,0.873932461562392,1.669,2115.675,3853.023,24772.851,35.627,0
74,1572.8490809416319,18.521374153498872,0.6661642383014716,0.24193027352315052,0.49186408033434453,0.8927798194369482,1.631,2251.177,3923.281,23968.486,34.99,0
75,1361.393854804902,17.482354482425027,0.6728593123751379,0.2558472586830207,0.5058134623386578,0.9050337526442284,1.621,2431.119,3981.086,23695.03,34.529,0
76,1067.818123186069,15.472267010641728,0.6900402011900066,0.2772307965218427,0.5265271090094438,0.9168574892070164,1.493,2805.463,4297.097,20319.798,31.996,0
77,813.6438548049018,13.304105530474043,0.7135939256167856,0.3096527638647838,0.5564645216586442,0.9259894883617654,1.41,3421.329,4755.261,17199.369,28.907,0
78,713.6140559496938,11.520487342792652,0.7484739455212499,0.35323215973042127,0.5943333742357241,0.9244346530610524,1.404,4300.01,5361.311,14846.412,25.651,0
79,1823.4310964912286,21.026236842105266,0.643923103618882,0.2503171625500154,0.5003170620216898,0.8418671436506214,1.777,2514.623,4031.493,31924.15,39.018,0
80,1844.9105087719297,20.699149122807018,0.6476839646132007,0.2554743703351032,0.5054447253014944,0.8338269866127579,1.698,2652.477,4260.702,27971.421,36.912,0
81,1746.3057280701753,20.29319298245614,0.6528004470386287,0.263030386291936,0.5128648811255612,0.837938916261466,1.721,2676.105,4269.001,28662.426,36.895,0
82,1863.2136929824558,21.084684210526312,0.6481510212732321,0.26030203277931674,0.5101980329042015,0.8336556176478077,1.789,2566.651,4117.715,31371.817,38.168,0
83,1865.166535087719,20.460947368421053,0.6634324074922264,0.26600657047360726,0.5157582480907186,0.8369280978516855,1.784,2688.553,4260.879,30107.571,36.953,0
84,1743.0437456140348,19.212605263157897,0.6774320047320413,0.2822935292782395,0.5313130238176357,0.8464062937172275,1.713,2818.658,4398.163,27787.079,35.821,0
85,1553.2988771929827,18.28624561403509,0.678015690429416,0.2828091159972299,0.5317980030022958,0.8555449546008982,1.64,3013.954,4582.908,25289.834,34.465,0
86,1268.1519561403504,16.685666666666663,0.6851226688448361,0.29241308107302233,0.5407523287726298,0.8800959317757298,1.527,3239.844,4801.522,22205.747,32.925,0
87,1147.8560438596492,15.635649122807017,0.6977020015950162,0.3137006571637428,0.5600898652571236,0.8756915640185629,1.5,3527.547,5014.795,20833.28,31.477,0
88,1035.372807017544,14.628447368421051,0.7104536248080231,0.3458452495767928,0.5880860902765791,0.8527996051367553,1.463,3935.971,5288.77,19189.223,29.877,0
89,958.8086842105259,13.432649122807012,0.7353439683264319,0.394819330140043,0.6283465048363387,0.8158501647401465,1.455,4588.3,5733.156,17530.337,27.542,0
90,752.1489210526317,11.187956140350877,0.7676452253167602,0.44665166289627584,0.6683200302970694,0.8022207369619536,1.368,5732.475,6574.226,14325.938,24.024,0
91,1476.8193245614036,18.337052631578953,0.6583203021641735,0.2424563743651893,0.49239859297645167,0.8924630542718037,1.588,2276.49,4204.311,26456.456,37.484,0
92,1709.048412280702,19.647894736842108,0.6484475865323253,0.23951179573522632,0.4893994235133776,0.8792749109319742,1.653,2174.015,4061.928,28383.527,38.71,0
93,1683.3510614035092,19.27762280701755,0.6548703306493602,0.24440550847376125,0.49437385496581554,0.8879398979744694,1.625,2207.603,4090.632,27908.262,38.478,0
94,1499.5517368421054,17.586815789473686,0.6766273610682279,0.2528965719548323,0.5028882300818267,0.9019784653303916,1.564,2481.112,4467.37,24178.393,35.298,0
95,1317.197087719298,16.77687719298245,0.6810560812678241,0.25971606770352407,0.5096234567830685,0.9156143406602586,1.546,2615.345,4596.515,23155.418,34.307,0
96,1081.7990614035086,15.417754385964907,0.686185510355249,0.27460978032663885,0.5240322321447783,0.9261997931309204,1.472,2724.566,4669.987,21797.824,33.745,0
97,933.4005701754386,14.270377192982453,0.6994775523431299,0.29526573689981533,0.543383600138811,0.9313924135742936,1.443,2928.847,4805.61,21333.051,32.876,0
98,797.7237719298246,12.879394736842103,0.7195638352115092,0.3364627411895968,0.5800540847107248,0.9324720922468964,1.366,3434.036,5257.695,18598.082,30.102,0
99,624.7441842105264,10.862114035087721,0.7518625784050919,0.38228080257386904,0.6182886078312207,0.9330404270407431,1.246,4443.914,6187.232,14068.009,25.654,0
100,550.0459561403508,9.80081578947368,0.7725241531031178,0.42795583471837473,0.6541833341796279,0.924795569746831,1.205,5426.573,6880.95,12076.732,23.078,0
101,471.6796140350877,8.282254385964912,0.8082000420649731,0.4885064535145429,0.6989323669100916,0.9182352878721666,1.148,7422.289,8327.027,9195.857,19.056,0
102,313.3058245614034,6.224447368421052,0.8444559408960568,0.5571277799419051,0.7464099275477953,0.918791898496911,0.973,11320.79,11188.511,5603.221,14.205,0
103,1598.76051754386,19.225622807017547,0.6562631367015996,0.2512856595298554,0.5012840108460027,0.8813573614406135,1.749,2463.505,4060.041,31101.483,38.707,0
104,1573.2044210526317,19.06157894736842,0.6579208645360034,0.24331649258425672,0.493271216050822,0.8853082399714954,1.726,2413.208,4058.401,30751.092,38.765,0
